"No.","Time","Source","Destination","Src. Port","Dst. Port","Protocol","Length","Info"
"209877","15:17:16,192220","192.168.200.103","10.87.173.45","49623","7074","HTTP","270","GET /eps6-win-config-64/versions.id HTTP/1.1 "
"209880","15:17:16,195850","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","105","HTTP/1.1 200 OK "
"210374","15:18:28,614859","192.168.200.103","192.168.200.77","49630","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210377","15:18:28,619994","192.168.200.77","192.168.200.103","65003","49630","HTTP/XML","1349","HTTP/1.1 200 OK "
"210389","15:18:28,658767","192.168.200.103","192.168.200.77","49631","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210392","15:18:28,662446","192.168.200.77","192.168.200.103","65003","49631","HTTP/XML","1349","HTTP/1.1 200 OK "
"210406","15:18:28,704176","192.168.200.103","192.168.200.77","49633","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210414","15:18:28,717816","192.168.200.77","192.168.200.103","65003","49633","HTTP/XML","1349","HTTP/1.1 200 OK "
"210421","15:18:28,719817","192.168.200.103","192.168.200.77","49635","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210428","15:18:28,729769","192.168.200.77","192.168.200.103","65003","49635","HTTP/XML","1349","HTTP/1.1 200 OK "
"210440","15:18:28,752605","192.168.200.103","192.168.200.77","49637","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210443","15:18:28,756024","192.168.200.77","192.168.200.103","65003","49637","HTTP/XML","1349","HTTP/1.1 200 OK "
"210682","15:19:08,612419","192.168.200.103","192.168.200.77","49639","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210685","15:19:08,618952","192.168.200.77","192.168.200.103","65003","49639","HTTP/XML","1349","HTTP/1.1 200 OK "
"210697","15:19:08,658913","192.168.200.103","192.168.200.77","49640","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210700","15:19:08,662323","192.168.200.77","192.168.200.103","65003","49640","HTTP/XML","1349","HTTP/1.1 200 OK "
"210714","15:19:08,721806","192.168.200.103","192.168.200.77","49641","65003","HTTP/XML","1011","POST / HTTP/1.1 "
"210717","15:19:08,725384","192.168.200.77","192.168.200.103","65003","49641","HTTP/XML","1349","HTTP/1.1 200 OK "
